state_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_totalstate_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_total24,GUJARAT,491,Valsad,Tahsil-ValsadVillage-Malvan,18,9,15,7,5,54,22,7,34,11,11,0,85,139
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-SalapiRur,15,9,0,0,0,24,17,7,9,7,1,0,41,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-LungmiRez,0,0,1,1,0,2,0,0,4,0,4,0,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Karshah,0,2,0,0,1,3,3,5,42,3,0,2,55,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Zangla,0,0,0,0,0,0,4,6,5,2,0,0,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-TangdayKu,0,3,10,1,0,14,0,0,221,13,0,0,234,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-RantaqSha,35,0,0,0,0,35,21,24,1,0,0,0,46,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-TonrianTh,0,2,0,0,0,2,0,0,19,4,0,0,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-TechaKhas,0,0,0,0,0,0,0,9,3,0,0,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Seni,40,16,0,1,0,57,41,41,11,2,0,0,95,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Selapigai,18,19,0,0,0,37,11,10,27,28,0,0,76,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Padam,0,5,2,3,0,10,17,37,96,13,0,0,163,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Choskar,20,23,3,1,0,47,62,40,187,28,1,0,318,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Minji,74,1,0,0,0,75,199,28,294,127,21,0,669,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Shimsha,7,0,0,0,0,7,69,106,120,2,0,0,297,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Thasgam,15,0,0,0,0,15,21,0,48,2,0,0,71,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Chokial,32,3,0,0,0,35,31,18,79,13,22,0,163,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Thrangos,27,6,0,0,0,33,25,13,64,7,4,0,113,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Shakar,35,1,0,0,0,36,57,52,119,39,2,0,269,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Tacha,10,0,0,0,0,10,31,18,46,9,0,0,104,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Lochum,17,4,0,0,0,21,25,29,54,1,10,0,119,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Darkiat,9,3,0,0,0,12,5,16,23,4,0,0,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Nunamchey,4,3,0,0,0,7,3,12,24,5,1,0,45,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
